priority,category,reason,condition,question_id,turn_index,unit_id,generated_action,match_strength,primary_hop_id,primary_gold_call,primary_score,best_candidate_hop_id,best_candidate_gold_call,best_candidate_score,schema_valid,schema_error,best_candidate_reason
1,semantic_tool_synonym_or_decomposition,존재하지 않는/synonym tool이지만 gold intent와 의미적으로 대응할 수 있음,smoke_explicit,multi_turn_base_143,3,u1,1. get_account_details(username='USR001'),wrong,,,,h6,"send_message({""receiver_id"": ""USR003"", ""message"": ""My strategy is shifting due to recent market movements and the cancellation of a specific order. Current balance in my account is $10000.""})",30,False,missing_tool_schema,"argument_overlap:account,strategy,usr003;schema_invalid"
1,semantic_tool_synonym_or_decomposition,존재하지 않는/synonym tool이지만 gold intent와 의미적으로 대응할 수 있음,smoke_explicit,multi_turn_base_143,3,u2,"2. notify_advisor(user_id='USR003', message=""My strategy is shifting due to recent market movements and the cancellation of a specific order. Current balance in my account is $10000."")",wrong,,,,h6,"send_message({""receiver_id"": ""USR003"", ""message"": ""My strategy is shifting due to recent market movements and the cancellation of a specific order. Current balance in my account is $10000.""})",50,False,missing_tool_schema,"argument_overlap:account,balance,cancellation,due,market,message,movements,my;schema_invalid;unresolved_input"
1,semantic_tool_synonym_or_decomposition,존재하지 않는/synonym tool이지만 gold intent와 의미적으로 대응할 수 있음,smoke_explicit,multi_turn_base_35,0,u1,"1. find_file(name=""config.py"")",wrong,,,,h3,"tail({""file_name"": ""config.py"", ""lines"": 1})",10,False,missing_tool_schema,argument_overlap:config.py;schema_invalid
1,semantic_tool_synonym_or_decomposition,존재하지 않는/synonym tool이지만 gold intent와 의미적으로 대응할 수 있음,smoke_explicit,multi_turn_base_35,0,u2,"2. read_file(file_name=$1.path, lines=1)",wrong,,,,h3,"tail({""file_name"": ""config.py"", ""lines"": 1})",40,False,missing_tool_schema,"parameter_overlap:file_name,lines;argument_overlap:file_name,lines;schema_invalid;unresolved_input"
1,high_score_unmatched,후보 점수는 높지만 one-to-one/threshold/schema 때문에 primary match가 없음,smoke_explicit,multi_turn_base_35,2,u4,4. cat(file_name='diff.txt'),wrong,,,,h5,"diff({""file_name1"": ""config.py"", ""file_name2"": ""real_config.py""})",85,True,,function_mention;schema_valid
1,high_score_unmatched,후보 점수는 높지만 one-to-one/threshold/schema 때문에 primary match가 없음,smoke_explicit,multi_turn_base_39,2,u1,1. ls(a=True),wrong,,,,h9,ls({}),105,True,,exact_tool_name;schema_valid
1,semantic_tool_synonym_or_decomposition,존재하지 않는/synonym tool이지만 gold intent와 의미적으로 대응할 수 있음,smoke_explicit,multi_turn_base_55,0,u1,1. checkFuelLevel(),wrong,,,,h1,"displayCarStatus({""_arg0"": ""fuel""})",10,False,missing_tool_schema,argument_overlap:fuel;schema_invalid
1,argument_value_conflict,숫자 argument가 gold와 다를 가능성,smoke_explicit,multi_turn_base_55,0,u2,1. fillFuelTank(arg=fuelAmount=20),partial,h2,"fillFuelTank({""_arg0"": 15.0})",100,h2,"fillFuelTank({""_arg0"": 15.0})",100,False,syntax_error: invalid syntax; missing_required: fuelAmount,exact_tool_name;schema_invalid
1,high_score_unmatched,후보 점수는 높지만 one-to-one/threshold/schema 때문에 primary match가 없음,smoke_explicit,multi_turn_base_55,0,u3,"2. startEngine(arg=ignitionMode=""START"")",wrong,,,,h5,"startEngine({""ignitionMode"": ""START""})",120,False,syntax_error: invalid syntax; missing_required: ignitionMode,"exact_tool_name;argument_overlap:ignitionmode,start;schema_invalid"
1,high_score_unmatched,후보 점수는 높지만 one-to-one/threshold/schema 때문에 primary match가 없음,smoke_explicit,multi_turn_base_55,0,u4,"3. startEngine(arg=ignitionMode=""START"")",wrong,,,,h5,"startEngine({""ignitionMode"": ""START""})",120,False,syntax_error: invalid syntax; missing_required: ignitionMode,"exact_tool_name;argument_overlap:ignitionmode,start;schema_invalid"
